County Code,Early Voting Start Date,Early Voting End Date,Voting Date,Voting Rule,Precinct,Polling Location
227,10/21/2013,11/01/2013,11/05/2013,VP,101,Dailey Middle School
227,10/21/2013,11/01/2013,11/05/2013,VP,102,Copperfield Elementary School
227,10/21/2013,11/01/2013,11/05/2013,VP,103,Graham Elementary School
227,10/21/2013,11/01/2013,11/05/2013,VP,104,Cedar View Rehabilitation
227,10/21/2013,11/01/2013,11/05/2013,VP,105,Manor Isd Administration Bldg
227,10/21/2013,11/01/2013,11/05/2013,VP,106,Neidig Elementary School
227,10/21/2013,11/01/2013,11/05/2013,VP,107,New Sweden Lutheran Church
227,10/21/2013,11/01/2013,11/05/2013,VP,108,Graham Elementary School
227,10/21/2013,11/01/2013,11/05/2013,VP,109,Parmer Lane Elementary School
227,10/21/2013,11/01/2013,11/05/2013,VP,110,Park Crest Middle School
227,10/21/2013,11/01/2013,11/05/2013,VP,111,Parmer Lane Elementary School
227,10/21/2013,11/01/2013,11/05/2013,VP,112,Dessau Elementary School
227,10/21/2013,11/01/2013,11/05/2013,VP,113,Wieland Elementary School
227,10/21/2013,11/01/2013,11/05/2013,VP,114,Dailey Middle School
227,10/21/2013,11/01/2013,11/05/2013,VP,115,Dailey Middle School
227,10/21/2013,11/01/2013,11/05/2013,VP,116,Dailey Middle School
227,10/21/2013,11/01/2013,11/05/2013,VP,117,Overton Elementary School
227,10/21/2013,11/01/2013,11/05/2013,VP,118,Pearce Middle School
227,10/21/2013,11/01/2013,11/05/2013,VP,119,Dailey Middle School
227,10/21/2013,11/01/2013,11/05/2013,VP,120,Overton Elementary School
227,10/21/2013,11/01/2013,11/05/2013,VP,121,Lbj High School
227,10/21/2013,11/01/2013,11/05/2013,VP,122,Ymca East Community Branch
227,10/21/2013,11/01/2013,11/05/2013,VP,123,Murchison Elementary School
227,10/21/2013,11/01/2013,11/05/2013,VP,124,Carver Public Library/museum
227,10/21/2013,11/01/2013,11/05/2013,VP,125,Bluebonnet Trail Elementary School
227,10/21/2013,11/01/2013,11/05/2013,VP,126,David Chapel Portable
227,10/21/2013,11/01/2013,11/05/2013,VP,127,Bluebonnet Trail Elementary School
227,10/21/2013,11/01/2013,11/05/2013,VP,128,Lbj High School
227,10/21/2013,11/01/2013,11/05/2013,VP,129,Sims Elementary School
227,10/21/2013,11/01/2013,11/05/2013,VP,130,Pearce Middle School
227,10/21/2013,11/01/2013,11/05/2013,VP,131,Lbj High School
227,10/21/2013,11/01/2013,11/05/2013,VP,132,Pecan Springs Elementary School
227,10/21/2013,11/01/2013,11/05/2013,VP,133,Blanton Elementary School
227,10/21/2013,11/01/2013,11/05/2013,VP,134,Lbj High School
227,10/21/2013,11/01/2013,11/05/2013,VP,135,Dell Children's Medical Center
227,10/21/2013,11/01/2013,11/05/2013,VP,136,Esd 2 Conference And Education Ctr
227,10/21/2013,11/01/2013,11/05/2013,VP,137,Rowe Lane Elementary School
227,10/21/2013,11/01/2013,11/05/2013,VP,138,Dailey Middle School
227,10/21/2013,11/01/2013,11/05/2013,VP,139,Gus Garcia Recreation Center
227,10/21/2013,11/01/2013,11/05/2013,VP,140,Dobie Middle School
227,10/21/2013,11/01/2013,11/05/2013,VP,141,Gus Garcia Recreation Center
227,10/21/2013,11/01/2013,11/05/2013,VP,142,Travis County Airport Offices
227,10/21/2013,11/01/2013,11/05/2013,VP,145,County Tax Office-community Ro
227,10/21/2013,11/01/2013,11/05/2013,VP,146,Pflugerville Isd Admin Bldg
227,10/21/2013,11/01/2013,11/05/2013,VP,148,County Tax Office-community Ro
227,10/21/2013,11/01/2013,11/05/2013,VP,149,Reilly Elementary School
227,10/21/2013,11/01/2013,11/05/2013,VP,150,Brookhollow Elementary School
227,10/21/2013,11/01/2013,11/05/2013,VP,151,Pearce Middle School
227,10/21/2013,11/01/2013,11/05/2013,VP,152,Maplewood Elementary School
227,10/21/2013,11/01/2013,11/05/2013,VP,153,Pioneer Crossing Elementary School
227,10/21/2013,11/01/2013,11/05/2013,VP,154,Bluebonnet Trail Elementary School
227,10/21/2013,11/01/2013,11/05/2013,VP,156,Virginia Brown Recreation Center
