Name,Address Name,Address Line1,Address Line2,Address Line 3,Address Line 4,City,State,Zip Code,Country
Acc Northridge Campus,Acc Northridge Campus,11928 Stonehollow Dr,,,,Austin,TX,78758,US
Acc Pinnacle Campus,Acc Pinnacle Campus,7748 Hwy 290 West,,,,Austin,TX,78736,US
Acc South Austin Campus,Acc South Austin Campus,1820 Stassney Lane,,,,Austin,TX,78745,US
Akins High School,Akins High School,10701 South First St,,,,Austin,TX,78748,US
Akins High School,Akins High School,10701 South First St,,,,Austin,TX,78748,US
Ann Richards School,Ann Richards School,2206 Prather Lane,,,,Austin,TX,78704,US
Austin City Hall,Austin City Hall,301 West 2nd Street,,,,Austin,TX,78701,US
Bailey Middle School,Bailey Middle School,4020 Lost Oasis Hollow,,,,Austin,TX,78739,US
Baker Center School,Baker Center School,3908 Avenue B,,,,Austin,TX,78751,US
Baty Elementary School,Baty Elementary School,2101 Faro Drive,,,,Austin,TX,78741,US
Ben Hur Shriners Hall,Ben Hur Shriners Hall,7811 Rockwood Lane,,,,Austin,TX,78757,US
Blanton Elementary School,Blanton Elementary School,5408 Westminster Drive,,,,Austin,TX,78723,US
Blazier Elementary School,Blazier Elementary School,8601 Vertex Blvd,,,,Austin,TX,78747,US
Bluebonnet Trail Elementary School,Bluebonnet Trail Elementary School,11316 Farmhaven Road,,,,Manor,TX,78653,US
Boulder Ridge Comm. Room,Boulder Ridge Comm. Room,3300 Killingsworth Lane,,,,Pflugerville,TX,78660,US
Bowie High School,Bowie High School,4103 West Slaughter Lane,,,,Austin,TX,78749,US
Brentwood Elementary School,Brentwood Elementary School,6700 Arroyo Seco,,,,Austin,TX,78757,US
Briarcliff Poa Comm. Center,Briarcliff Poa Comm. Center,22801 Briarcliff Drive,,,,Spicewood,TX,78669,US
Bridge Point Elementary School,Bridge Point Elementary School,6401 Cedar Street,,,,Austin,TX,78746,US
Brookhollow Elementary School,Brookhollow Elementary School,1200 N Railroad Avenue,,,,Pflugerville,TX,78660,US
Bryker Woods Elementary School,Bryker Woods Elementary School,3309 Kerbey Lane,,,,Austin,TX,78703,US
Burnet Middle School,Burnet Middle School,8401 Hathaway Dr,,,,Austin,TX,78757,US
Caldwell Elementary School,Caldwell Elementary School,1718 Picadilly Drive,,,,Pflugerville,TX,78660,US
Camden Huntingdon Apartments,Camden Huntingdon Apartments,12349 Metric Blvd,,,,Austin,TX,78758,US
Cantu/pan Am Recreation Center,Cantu/pan Am Recreation Center,2100 East 3rd Street,,,,Austin,TX,78702,US
Canyon Creek Elementary School,Canyon Creek Elementary School,10210 Ember Glen Drive,,,,Austin,TX,78699,US
Canyon Ridge Middle School,Canyon Ridge Middle School,12601 Country Trails Lane,,,,Austin,TX,78697,US
Canyon Vista Middle School,Canyon Vista Middle School,8455 Spicewood Springs Rd,,,,Austin,TX,78695,US
Carver Public Library/museum,Carver Public Library/museum,1161 Angelina Street,,,,Austin,TX,78692,US
Casey Elementary School,Casey Elementary School,9400 Texas Oaks Drive,,,,Austin,TX,78690,US
Cat Mountain Homeowners Association,Cat Mountain Homeowners Association,6007 Mount Bonnell Road,,,,Austin,TX,78688,US
Cedar View Rehabilitation,Cedar View Rehabilitation,11020 Dessau Road,,,,Austin,TX,78685,US
Christ Episcopal Church,Christ Episcopal Church,3520 W. Whitestone Blvd.,,,,Austin,TX,78683,US
Cityview At The Park Apartments,Cityview At The Park Apartments,2000 Woodward Street,,,,Austin,TX,78681,US
Clayton Elementary School,Clayton Elementary School,7525 Lacrosse Avenue,,,,Austin,TX,78678,US
Community Center At Jonestown,Community Center At Jonestown,18649 Hwy 1431, Suite 6a,,,Austin,TX,78676,US
Congress Avenue Baptist Church,Congress Avenue Baptist Church,1511 South Congress Ave,,,,Austin,TX,78674,US
Cook Elementary School,Cook Elementary School,1511 Cripple Creek Dr,,,,Austin,TX,78671,US
Copperfield Elementary School,Copperfield Elementary School,12135 Thompkins Dr,,,,Manor,TX,78669,US
County Tax Office-community Ro,County Tax Office-community Ro,15822 Foothill Farms Lp,,,,Pflugerville,TX,78667,US
